author,text,published_at,like_count,cluster
debat_tv_one_user_71,dusta kebusukan yg ingkari tipudaya sdh nyata mata akal nurani rakyat yg waras,2025-05-28T05:30:55Z,0,10
debat_tv_one_user_76,aja kpd yg penuduh,2025-05-27T16:43:41Z,0,10
debat_tv_one_user_80,ternaknya yg sibuk byr,2025-05-27T15:29:42Z,0,10
debat_tv_one_user_80,ijazahnya mna yg asli tunjukan jgn omon omon,2025-05-27T15:28:52Z,0,10
debat_tv_one_user_80,org td tau mna yg ahli mna yg bkan,2025-05-27T15:27:42Z,0,10
debat_tv_one_user_89,roy panci suka bohong salah fakultas kedokteran dianalisa berapi api kesalahan kebohongan ceritanya ijasa yg sdh dianalisa sdh palsu ijasa yg dianalisa diambil youtube koar nya sdh kemana roy panci sdh tdk percaya bohong n hoax mulut si roypanci masuk penjara nangissss lihat si roypanci menangis,2025-05-27T03:26:39Z,0,10
debat_tv_one_user_96,kasih info aja rakyat yg terhormat pengaguran remaja udah bernarkoba judi slot udah bnyak keluarga korban yg,2025-05-26T18:06:50Z,0,10
debat_tv_one_user_106,surya contoh manusia yg ga bercermin,2025-05-26T15:05:07Z,0,10
debat_tv_one_user_109,sngt senang puas klo orang yg masuk bui si rs muak liat nya klo udh ngomng lngsng sya skip lngsng omngn yg dengar jijik bet liat si tuir koar moga msuk bui seumur hidup,2025-05-26T13:26:40Z,0,10
debat_tv_one_user_122,coba seandainya pagi segerombolan orang rumah memaki maki memaksa ijazah iya mudah menuruti kemauan wewenang memaksa maksa hak menuruti kemauan klau yg alami jokowi orang madura ijazah yg ya clurit dlu yg menemui,2025-05-25T20:51:40Z,0,10
debat_tv_one_user_126,coba bayangkan sdh tdk tunjukan ijazahnya publik berhak utk sdh memakan korban org oula jokowi pejabat negara kecuali orang yg tdk kaitannya dgn jabatan negara publik tdk wewenang tdk hak utk menabyakan ijazah sembarang org biarkan ijazahnya palsu tdk salah utk pejabat negara,2025-05-25T17:11:09Z,0,10
debat_tv_one_user_135,sengaja gaduh itikad negarawan pejabat negara yg berpendidikan tunjukkanlah ijazah berdalih persidangan,2025-05-25T14:19:17Z,1,10
debat_tv_one_user_146,yah bilang yg allah,2025-05-25T01:15:33Z,0,10
debat_tv_one_user_152,d dunia kesiapan perang dunia d konoha msh membahas ijazah org asli palsu dasar warga konoha allah tdk tidur tdk diam dgn kezaliman lg fitnah krn fitnah kejam dr membunuh dosanya hati kawan jd org yg diam tau butuk org bicara mengamalkan kebaikan agama hukum alam psti berlaku tinggal tunggu,2025-05-24T19:48:40Z,0,10
