author,text,published_at,like_count,source,total_sources,total_comments,screening_time_min,source_entropy,cluster
user_33593,buzzer,2025-06-01 17:55:31+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_24323,"nasibmu lah silfester yg baik karena jilatanmu, kslau nalarmu sebenarnya sangat abal 2",2025-06-01 17:47:18+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_23362,mbah2 ar...muak liat muka nya...penjilat munafik,2025-06-01 01:44:30+00:00,0,debat_tv_one,2,2,44582.933333333334,0.6931471805599453,13
user_29759,lawyer lohikanyanngaco,2025-05-30 14:26:27+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_37412,panjang umur perjuangan 🔥🔥🔥🔥🤲🤲,2025-05-27 19:38:06+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_3376,iya di byr ya ngeyel,2025-05-27 15:37:38+00:00,0,debat_tv_one,1,9,13.883333333333333,0.0,13
user_3376,ternaknya yg sibuk di byr berapa,2025-05-27 15:29:42+00:00,0,debat_tv_one,1,9,13.883333333333333,0.0,13
user_51887,❤ 3 hal ❤,2025-05-27 07:59:36+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_8935,orang npd semakin di lawan semakin seger utk melawan,2025-05-27 01:37:14+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_21000,1000m plasu.!,2025-05-26 18:58:30+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_12825,"badan besar tp kosong... smakin bnyk ngomong smakin keliatan ilmunya, pengalamannya, wawasannya.",2025-05-26 18:31:11+00:00,0,debat_tv_one,1,3,46084.48333333333,0.0,13
user_25196,prof ginting... bagus banget quote nya!!! keren!!!,2025-05-26 16:34:12+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_27486,betul bang silfester,2025-05-25 14:24:30+00:00,0,debat_tv_one,2,3,35416.11666666667,0.6365141682948128,13
user_43521,ovi ovi😂,2025-05-25 09:49:22+00:00,0,debat_tv_one,1,2,6.6,0.0,13
user_6918,tua bangka gak tau diri amin,2025-05-24 12:32:41+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_23780,sombong itu tidak baik bro,2025-05-24 12:26:46+00:00,0,debat_tv_one,1,1,0.0,0.0,13
user_22271,siplester ngomong..malu gua liat nya😂😂😂😂😂😂😂,2025-05-23 23:34:46+00:00,0,debat_tv_one,1,111,52668.53333333333,0.0,13
