cluster,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,keyword_11,keyword_12,keyword_13,keyword_14,keyword_15
0,si,roy,panci,suryo,yg,jokowi,nya,ijazah,aja,orang,penjara,gak,masuk,mulyono,ga
1,aja,yg,roy,jokowi,ijazah,nya,gak,orang,suryo,asli,udah,ga,biar,palsu,kalo
10,salah,yg,hukum,ya,roy,jokowi,orang,suryo,nya,klo,biar,kalo,gak,aja,masyarakat
11,ijazah,yg,jokowi,asli,nya,palsu,ugm,roy,rakyat,gak,orang,tdk,tunjukkan,ijazahnya,aslinya
12,presiden,mantan,yg,jokowi,roy,ijazah,rakyat,nya,orang,indonesia,palsu,suryo,negara,hukum,masyarakat
13,roi,suryo,yg,panci,jokowi,penjara,orang,nya,masyarakat,kau,biar,aja,gak,cs,masuk
14,jokowi,yg,roy,ijazah,nya,rakyat,ugm,asli,palsu,ijazahnya,hukum,indonesia,gak,masyarakat,tdk
2,roy,suryo,yg,jokowi,masyarakat,penjara,cs,nya,masuk,dkk,orang,mas,bang,kau,ijazah
3,bikin,gaduh,yg,roy,suryo,jokowi,aja,orang,negara,biar,masyarakat,indonesia,rakyat,ijazah,gak
4,yg,roy,nya,hukum,rakyat,gak,jokowi,negara,ugm,indonesia,ijazah,masyarakat,tdk,biar,suryo
5,palsu,ijazah,asli,yg,jokowi,terbukti,kalo,bro,nya,roy,ijazahnya,orang,ugm,banget,sih
6,panci,roy,yg,suryo,maling,penjara,masuk,jokowi,masyarakat,pakar,cs,nya,dasar,kau,gak
7,ya,yg,roy,jokowi,suryo,orang,nya,ijazah,gak,hukum,ga,asli,kalo,aja,palsu
8,ijasah,yg,jokowi,palsu,asli,nya,roy,orang,ugm,suryo,gak,rakyat,aja,presiden,negara
9,orang,yg,jokowi,roy,ijazah,nya,gak,suryo,hati,negara,indonesia,palsu,cari,rakyat,hukum
