author,text,published_at,like_count
user_1,Buzzer,2025-06-01T17:55:31Z,0
user_2,"nasibmu lah silfester yg baik karena jilatanmu, kslau nalarmu sebenarnya sangat abal 2",2025-06-01T17:47:18Z,0
user_3,Roy udah gila manggap terus mulutnya,2025-06-01T16:47:52Z,0
user_4,"Negara luar udah memikirkan masa depan buat kemajuan bangsa dan negara,ini sebagian bangsa indonesia malah ngurusin ijasah ampun, gak akan maju maju ini bangsa dan negara😢 kasihan pemerintah udah memikirkan buat kemajuan bangsa dan negara,malah bangsa nya memikirkan dan ngurusin ijasah 😢 mantan presiden,padahal beliau sudah berjasa untuk bangsa dan negara di bandingkan dengan 4 gerombolan pemecah belah bangsa",2025-06-01T15:29:03Z,0
user_5,Kesini karena nonton si badut ternak mulyono,2025-06-01T14:32:12Z,0
user_6,"Dukung roy cs tetap bersuara ,orang orang baik",2025-06-01T14:02:20Z,0
user_7,jika skripsinya palsu maka ijasahnya siluman,2025-06-01T11:54:37Z,0
user_8,Roy kamu sama gerombolanmu  pergi aja dari indonesia.orang sebaik apapun masih salah menurutmu.karena kamu  punya gelar PANCI,2025-06-01T07:47:07Z,0
user_9,buzer semua isinya,2025-06-01T05:30:49Z,0
user_10,"ADA BENAR NYA CANDAAN SILPESTER, JOKOWI ANAK SIAPA, GUBRAN ANAK SIAPA , LURUS KE ATAS YAP MEI WA ITU SIAPA, SUPIR AIDIT SIAPA MENURUT UNDER COVER",2025-06-01T05:29:23Z,0
user_11,Bila ilc berani memanggil Joshua Sinambela dg RS cs ...itu baru feer ...disitu baru meledak penontonnya ...kenapa harus dipanggil Joshua karna josualah yg membeberkan dokumennya kerismon ..dan sirismon malah memblokir wa Joshua ....coba kalau berani ilc ..panggil dan undang mereka ?,2025-06-01T05:02:00Z,0
user_12,"Ya sdh pasti jokowi merasa ketakutan ditahun 2017untuk memberikan hormat nya kepada Ahmad Sumitro yg diketahui sebagai dosen pembimbing nya, disaat itu Pak Ahmad Sumitro belum almarhum (meninggal 2022)",2025-06-01T04:15:52Z,0
user_13,Roy berhujah 1jam tapi putar belit sna sni sja kosong saja. Yang lain cma di beri 2.3 minit sja. Harus nya harus unfair dong ngasih waktu bicara.,2025-06-01T04:01:39Z,0
user_14,Mbah2 AR...muak liat muka nya...penjilat munafik,2025-06-01T01:44:30Z,0
user_15,Yang asli dari jokowi cuma bohongnya 🤣🤣🤣,2025-05-31T20:52:57Z,0
user_16,"Parah roy suryo ini, segera tangkap aja",2025-05-31T19:58:27Z,0
user_17,Inisa gatmemalukankamisebagaianakbangsaindonesiadilihatdunialurapak,2025-05-31T18:45:01Z,0
user_18,EMANG ENAK DI BOHONGI 😂.,2025-05-31T17:54:59Z,2
user_19,jadi kalau mantan menteri gak tau lagu indonesia raya gimana pulak ????...kok ngatai orang gak boleh lupa nama dosen pembimbing....??? ngaca kau Bosss...,2025-05-31T15:23:45Z,0
user_20,Yang bilang Jokowi presiden terbaik itu hanya penjilat dan pendukung Jokowi,2025-05-31T13:50:21Z,0
user_21,Tapi gk manfaat bagi rakyat indonesia,2025-05-31T13:24:09Z,0
user_22,pertanyaan sederhana knp roi Suryo tdk pernah memperlihatkan ijasahnya saja sebagai acuan keaslian atau pembanding?,2025-05-31T12:50:48Z,0
user_23,Bravo bung roy suryo dkk ..kebenaran selalu akan menang,2025-05-31T09:00:47Z,1
user_23,Si mulyono harus di adili..sangat banyak kasus nya dia,2025-05-31T09:00:09Z,1
user_23,Saya sebagai rakyat kecil sangat meyakini 100 persen ijazah si mulyono itu palsu,2025-05-31T08:59:25Z,1
user_24,Duuuih org nyanyi lagu indonesia Raya aja g hafal gimana mau membela Negri bikin gaduh aja,2025-05-31T08:13:03Z,0
user_25,Roy Roy sok,2025-05-31T08:11:56Z,0
user_26,Yang asli itu ruko,2025-05-31T05:01:46Z,0
user_27,Asli atau palsu tidak ada manfaat nya buat kami rakyat.kalo memang mas roi cs mau membantu masyarakat cari sekolah yang sudah roboh cari orang miskin yang bisa di bantu itu baru ada manfaat nya,2025-05-31T04:16:34Z,0
user_28,"Penjelasan ROY SURYO.....untuk saya Objektif, Sistematis, dan Terukur.....untuk kalian gmn ....???",2025-05-31T03:55:25Z,0
user_29,"Setelah menonton sampai habis, secara virtual, personal msg2 org dari bicara dan makna arah bicaranya bisa dinilai secara objektif mana jujur dan manipulatip. Mmg hidup teryata 2 pilihan, surga neraka, hitam putih, laki perempuan, terakhir pembela kebenaran vs pembela pembohong. Kesimpulan saya mendukung Roy, Rismon,Alkatiri dan Fery dia Mengungkap jujur dan berintegritas  dan profesional.",2025-05-31T03:13:04Z,2
user_30,"Bisa di stop ga si isu ini, kan udh di proses, biarkan berproses.. 
Eh karni ente jangan bikin gaduh, lama2 ente saya laporin ke donal trump, mati ente tar ga dapet penghasilan",2025-05-31T02:47:13Z,0
user_31,SELAMAT BERJUANG SAUDARAKU SEBANGSA DAN SETANAH AIR.,2025-05-31T01:38:44Z,0
user_32,Ngapain petcaya barisan sakit hati.,2025-05-31T01:36:58Z,0
user_33,penipu residivis dipercaya..liahat nanti kedepan ngak mungkin betul omongannya hanya membangun narasi receh...,2025-05-31T00:52:05Z,0
user_34,Roy suryo apa udah gila kalau bicara cumak muter muter,2025-05-31T00:31:08Z,0
user_35,"*WUIIHHHH DEWA PANCI..PANCINYA COLONGAN....SALUT GW,  BENER2  AHLINYA BAHKAN DALAM SEMUA BIDANG.. POKOK NYA SEMUA ORANG SALAH HANYA DIA MAHA TAHU SEGALANYA.... GAYA NYA BENER2 DEWA PANCI . TUKANG GARONG PANCI ...PANCI NEGARA PIULA YG DI GARONG. EH ROY DEWA PANCI...KESETAB BERAPA BIJI YG LO GAK OULANGIN. GAYA LO SEKARANG NAIK PANGKAT DEWAPANCI tapi sayang MEMALUKAN DAN MENJIJIKAN. SEBAR FITNAH TAPI KELAKUAN GEROMBOLAN GRUDUK LO PERSIS KAYAK GENJER GENJER GAYA BARU*",2025-05-30T21:04:14Z,0
user_36,"Badan hukum di periksa Bareskrim polri 
BISA juga bilang asli ijazah Jokowi Dodo itu 
Karena ada sekongkolan di belakang layar.
Palsu ijazah Jokowi Dodo itu 
Bisa di bilang asli.
Itu bisa aja bermain mata.dengan Jokowi Dodo itu aja..
Gus nur dan Bambang tri masuk karena ijazah nya Jokowi Dodo itu tidak pernah di perlihatkan.hanya asumsi 
Aja..
😮😮😮
Jelas di tuduh pencemaran nama baik si Jokowi Dodo itu aja 
Yang jelas bernain hakim di belakang layar.aja...
Maju terus mas Roy cs 
 Terus bongkar terus terang ijazah nya Jokowi Dodo itu....😮
Keterbukaan informasi publik harus di siarkan langsung terus menerus jangan sampai mati..😮😮😮😮",2025-05-30T20:01:31Z,0
