author,text,published_at,like_count
user_1,Kan sudah membohongi bangsa indonesia ...sebohong bohongnya,2025-06-01T12:39:18Z,0
user_2,"NPD, playing victim, guilt tripping, gaslighting. Komboo dalam 1 orang",2025-06-01T05:57:41Z,0
user_3,"Sehat selalu dan panjang umur Bp.Joko Widodo.. semangat Bapak, rakyat tetap mencintai Bapak sekeluarga",2025-05-31T12:36:30Z,0
user_4,"Kaha gini di ungkit ungkit tapi soal krupsi pada diem diem bae. ,,, gimana mau maju negara ini",2025-05-30T13:26:46Z,0
user_5,Wi wok de tok not onle tok de tok,2025-05-26T01:38:06Z,0
user_6,Mantab Roy dkk ada kesempatan untukemnuktikan keaslian ijazah dimaksud,2025-05-25T10:41:06Z,0
user_6,Mantab kalau tidak dicabut preses frensik akan di review lagi kembali keasliannya,2025-05-25T10:39:25Z,0
user_7,Roy suryo... Roy suryo... Sengkuni dari dulu... Saya sumpahin masuk neraka mulut kamu tusuk dengan besi panas.. sate saja kamu di neraka,2025-05-20T12:27:48Z,0
user_8,Sumpah Pocong,2025-05-20T08:10:18Z,0
user_9,maaf seprti mau menangis...bapk terhina ya?berrati bapak pernah menghina sby ya,2025-05-20T07:14:15Z,0
user_10,Memang kamu pas dihina,2025-05-20T03:22:06Z,0
user_11,PANTAS DI HINA SE DALAM² NYA.. SE HINA DUNIA .. KRN PENGHIANAT BANGSA DAN NEGARA!!!!,2025-05-20T03:04:13Z,0
user_12,"Ada partai besar yg mendorong orang-orang untuk menyuarakan ""ijazah palsu"" Ini.... dan selanjutnya orang-orang ini akan masuk bui",2025-05-19T01:19:43Z,0
user_13,Ga ada kerjaan yg urusin ijasah. Yg pasti jd presiden jujur,2025-05-18T16:31:01Z,0
user_14,"Ini bukan peternakan, Wi... ini NEGARA. 
Lu tu sudah membohongi rakyat sebohong-bohongnya, menggoblogkan rakyat segoblog-goblognya.",2025-05-18T16:16:16Z,0
user_15,Memang hina lo tak punya adab tak tau trima kasih.... Anak dajjal🤣🤣🤣🤣🥲,2025-05-16T21:13:17Z,0
user_16,Lah.. memang hina selama terus membohongi rakyat.,2025-05-16T05:16:26Z,0
user_17,UDAH GAK HINA SEJAK KAPAN WI?,2025-05-16T04:05:05Z,0
user_18,"Kemuliaan itu anugerah, hanya orang yang takut kepada Allah yang akan mendapatkan.",2025-05-14T14:40:36Z,0
user_19,Jgn liat dari penampilan negara uda bobrok,2025-05-14T11:49:10Z,0
user_20,Presiden aja digituan apalg gua rakyat jelata😅,2025-05-14T09:12:54Z,0
user_21,"Orang ketahuan 1 X bohong aja udah gak dipercaya ... Ini rekam jejak kebohongannya banyak? 

Trus ... Percaya lembaga hukum ?
Sama juga rekam jejak digital kebohongannya banyak juga 

 🤣🤣🤣🤣

... Dan sungguh pada hari Kiamat akan Kami pertanyakan kebohongan yg selalu mereka ada-adakan. 
Qur'an Al-Ankabut 13 

Berharap saja gak pernah mati Dan ketemu hari Kiamat. Ayat diatas pas banget buat buzzers.",2025-05-13T15:19:42Z,0
user_22,"Joko Widodo: _""Mereka sudah menghina saya, sehina-hinanya!""_
Warganet: _""Kami merasa dibohongi, sebohong-bohongnya! Selama 2 peeiide dan 10 tahun...""_",2025-05-13T15:03:24Z,0
user_23,sehina hinanya... fufufafa ya?,2025-05-13T07:28:37Z,0
