author,text,published_at,like_count
user_36379,"●PUBLIK GLOBAL PASTI SUDAH MAMPU KOK MENILAI KEBENARAN YG HAKIKI .
●PARA AKADEMISI MURNI SBG KAUM INTELEKTUAL PASTI SANGAT² MAMPU MENGURAI FAKTA KEBENARAN DG PENJELASAN² YG PASTI MUDAH DIMENGERTI PUBLIK .
●KASUS IJAZAH PALSU INI MENJADI TEREKSPOS SECARA MAKSIMAL DI BANYAK MEDIA MASA - KARENA MEMANG SUDAH TERLALU SANGAT² BANYAK KEBOHONGAN YG DITUTUPI .
●KASUS IJAZAH PALSU INI SANGAT² HYPER MENJIJIKKAN DAN LUAR BIASA SANGAT² MEMALUKAN .
●JOKOWI DG SEGENAP KEMAMPUAN LICIKNYA YG HYPER MENJIJIKKAN PASTI TETAP AKAN BERSIKUKUH PERTAHANKAN IJAZAHNYA ""ASLI"" DEMI MENUTUPI SEKIAN BANYAK KEBOHONGANNYA .
●LOGIKA MORAL PUBLIK GLOBAL TIDAK AKAN BISA DIBUNGKAM OLEH SEGALA MACAM NARASI² BOMBASTIS .",2025-06-01T20:06:50Z,0
user_56469,KLO. IJAZA  Jokowi sebenarnya. Palsu.  Wah.  Mending. Semuanya  ajah jangan Jokowi saja yg di  jungkir balikkan  ini ber arti.  Kebenaran dan kejujuran sudah tidak di butuhkan lagi.   Baiklah kita tungguh ajah. Besok. Apa akibatnya apabila  pegawai pemerintah RI saling menutupi  kejahatan    maka. Semuanya harus menanggung akibatnya.  Ok  soalnya tuhan semesta alam. Sudah menyiapkan. Semuanya kayaknya. Semoga yg baca. Gak salah faham.   Salam 🙏,2025-06-01T17:23:46Z,0
user_9660,Kurang waras pikiran nya penipu ijasah,2025-06-01T14:55:59Z,0
user_9660,Penipuaan ijasah pak m idi,2025-06-01T14:55:05Z,0
user_9660,Mau buat yang plsu boleh ya pak kalao tak sekolah,2025-06-01T14:51:22Z,0
user_9660,Jangan nipu pak kalao palsu,2025-06-01T14:49:54Z,0
user_25696,Koe yo ngopo fud fud...koe bien anteke jokowi si tukang ngising,2025-06-01T14:44:48Z,0
user_22476,"alah bingung saya ,,,,,,,,,,intinya orang memalsukan ijazah itu melanggar hukum tidak pak gitu aja kok repot,,,,,,kalau melanggar hukum intinya segera dihukum",2025-06-01T13:04:15Z,0
user_33483,"Dengar tu,,, yang gembor ijasah palsu",2025-06-01T12:28:47Z,0
user_48575,"Sejak dulu, kejelasan sikap dari pak Mahfud selalu dalam keremangan, aku tak pernah tertarik",2025-06-01T12:26:59Z,0
user_45930,Luar biasa,2025-06-01T08:10:49Z,0
user_29969,Top pak Mahfud 👍,2025-06-01T07:05:24Z,0
user_10041,orang yg cerdas satu katA. GK muter muter. ciri kecerdasan orang kata2 jelas dn masuk logikA. hanya jiwa sakit yg selalu membenci manusia. maju trus PK Jokowi.,2025-06-01T01:41:35Z,0
user_33940,"Sepemikiran sma beliau, semoga org"" Yg masih DUNGU dengar ini",2025-05-31T18:39:55Z,0
user_2106,ROY CS DENGARKAN DAN  LIHAT ITU ...😮😮😮,2025-05-31T18:08:39Z,0
user_16355,Pak Mahfudz.....sehat selalu pak,2025-05-31T15:20:48Z,0
