author,text,published_at,like_count
user_24991,Kalau memang benar teman2 jokowi Ijazahnya asli mana Yg punya Jokowi diperlihatkan ga  harus nya di perlihatkan biar jelas,2025-06-02T00:44:32Z,0
user_4463,Ajaran HTI GK bisa mengakui kebenaran orang lain dakwahnya cuma mencari cari kesalahan melulu,2025-06-02T00:15:55Z,0
user_20695,Teman kuliah Jokowi tertawa melihat kelakuan Roy Suryo 😅😅,2025-06-01T23:39:13Z,0
user_53230,Temen bayaran😂😅,2025-06-01T19:05:24Z,0
user_22384,Gak percaya klo itu tmn mereka,2025-06-01T17:46:22Z,0
user_10658,Silahkan sama penipu gitu?......,2025-06-01T16:31:30Z,0
user_1306,4. Saksi.  Sudah. Sukuk.   Apa. Lagi. Puluhan. ???,2025-06-01T16:04:12Z,0
user_1306,"BISMILLAH WALHAMDULILLAH. ROBBUL ALAMIIN ,,,BANGSA.  NEGARAKU ;   INGAT.  SADARA KU ;  (ALLOH. DAN. RASUL NYA.  DARI. SEBAGIAN. MANUSIA.  (  MEMALSU. KAN.  ALLOH. DAN.  RASUL. ,,,(ALLOH.  DAN. RASUL NYA. DI FALSUKAN ,,,  LALU.  DI. PER. TUHAN.   DEWA. JIN.  ATAU. MANUSIA. ,,FITRAH. YANG. MENANTANG.   AKAL.     FITRAH. MANUSIA. ,,,ALLOH. RASUL.   NYA.  DI. FALSUKAN. ,,, PADAHAL ALLOH   ROBB  MAHA.  EHSAA. ,,",2025-06-01T15:59:40Z,0
user_22363,Mana ada jokowi dlm perkumpulan...dlm video tersebut Kelihatan ada kejanggalan,2025-06-01T15:03:32Z,0
user_51442,Bohong. Jamaah. Imamnya. Jokowi.,2025-06-01T15:00:37Z,0
user_51442,Bohong. Jamaah. Pak,2025-06-01T14:59:13Z,0
user_51442,Ngapain. Pusing. Cari. Foto. Pinya. Ijazah. Nhgak.bkn.teman.itu.bkn.foto.jokowi,2025-06-01T14:57:39Z,0
user_51442,Pak jokowi. Nggak.ada.diasetingan jokowi. Bohoooooong,2025-06-01T14:54:24Z,0
user_28779,"giliran finish,minta maaf....negara Konoha.
kalau sudah mulut tidak bisa bicara,biarkan senjata yg bicara.bung Karno 🤗",2025-06-01T14:51:14Z,0
user_51442,Bohong.,2025-06-01T14:50:42Z,0
user_647,"Terlihat beralibinya tdk jujur ni orang, kadang bilang bapak, kadang mas, kadang jokowi.",2025-06-01T14:22:46Z,0
user_35987,Sehat sllu pak Jokowi. Jangan hiraukan mereka yg seolah olah yg maha benar,2025-06-01T13:37:20Z,0
